fecha,codigoSucursal,codigoProducto,monto,tipo
2026-01-14,SUC003,PROD003,116.00,EGRESO
2026-01-15,SUC404,PROD404,117.00,INVALIDO
2026-01-16,SUC001,PROD001,118.00,INGRESO
2026-01-17,SUC002,PROD002,119.00,EGRESO
2026-01-18,SUC003,PROD003,120.00,INVALIDO
2026-01-19,SUC404,PROD404,121.00,INGRESO
2026-01-20,SUC001,PROD001,122.00,EGRESO
2026-01-21,SUC002,PROD002,123.00,INVALIDO
2026-01-22,SUC003,PROD003,124.00,INGRESO
2026-01-23,SUC404,PROD404,125.00,EGRESO
2026-01-24,SUC001,PROD001,126.00,INVALIDO
2026-01-25,SUC002,PROD002,127.00,INGRESO
2026-01-26,SUC003,PROD003,128.00,EGRESO
2026-01-27,SUC404,PROD404,129.00,INVALIDO
2026-01-28,SUC001,PROD001,-10.00,INGRESO
2026-01-29,SUC002,PROD002,131.00,EGRESO
2026-01-30,SUC003,PROD003,132.00,INVALIDO
2026-01-31,SUC404,PROD404,133.00,INGRESO
2026-01-01,SUC001,PROD001,134.00,EGRESO
2026-01-02,SUC002,PROD002,135.00,INVALIDO
2026-01-03,SUC003,PROD003,136.00,INGRESO
2026-01-04,SUC404,PROD404,137.00,EGRESO
2026-01-05,SUC001,PROD001,138.00,INVALIDO
2026-01-06,SUC002,PROD002,139.00,INGRESO
2026-01-07,SUC003,PROD003,140.00,EGRESO
2026-01-08,SUC404,PROD404,141.00,INVALIDO
2026-01-09,SUC001,PROD001,142.00,INGRESO
2026-01-10,SUC002,PROD002,143.00,EGRESO
2026-01-11,SUC003,PROD003,144.00,INVALIDO
2026-01-12,SUC404,PROD404,-10.00,INGRESO
2026-01-13,SUC001,PROD001,146.00,EGRESO
2026-01-14,SUC002,PROD002,147.00,INVALIDO
2026-01-15,SUC003,PROD003,148.00,INGRESO
2026-01-16,SUC404,PROD404,149.00,EGRESO
2026-01-17,SUC001,PROD001,150.00,INVALIDO
2026-01-18,SUC002,PROD002,151.00,INGRESO
2026-01-19,SUC003,PROD003,152.00,EGRESO
2026-01-20,SUC404,PROD404,153.00,INVALIDO
2026-01-21,SUC001,PROD001,154.00,INGRESO
2026-01-22,SUC002,PROD002,155.00,EGRESO
2026-01-23,SUC003,PROD003,156.00,INVALIDO
2026-01-24,SUC404,PROD404,157.00,INGRESO
2026-01-25,SUC001,PROD001,158.00,EGRESO
2026-01-26,SUC002,PROD002,159.00,INVALIDO
2026-01-27,SUC003,PROD003,-10.00,INGRESO
2026-01-28,SUC404,PROD404,161.00,EGRESO
2026-01-29,SUC001,PROD001,162.00,INVALIDO
2026-01-30,SUC002,PROD002,163.00,INGRESO
2026-01-31,SUC003,PROD003,164.00,EGRESO
2026-01-01,SUC404,PROD404,165.00,INVALIDO
2026-01-02,SUC001,PROD001,166.00,INGRESO
2026-01-03,SUC002,PROD002,167.00,EGRESO
2026-01-04,SUC003,PROD003,168.00,INVALIDO
2026-01-05,SUC404,PROD404,169.00,INGRESO
2026-01-06,SUC001,PROD001,170.00,EGRESO
2026-01-07,SUC002,PROD002,171.00,INVALIDO
2026-01-08,SUC003,PROD003,172.00,INGRESO
2026-01-09,SUC404,PROD404,173.00,EGRESO
2026-01-10,SUC001,PROD001,174.00,INVALIDO
2026-01-11,SUC002,PROD002,-10.00,INGRESO
2026-01-12,SUC003,PROD003,176.00,EGRESO
2026-01-13,SUC404,PROD404,177.00,INVALIDO
2026-01-14,SUC001,PROD001,178.00,INGRESO
2026-01-15,SUC002,PROD002,179.00,EGRESO
2026-01-16,SUC003,PROD003,180.00,INVALIDO
2026-01-17,SUC404,PROD404,181.00,INGRESO
2026-01-18,SUC001,PROD001,182.00,EGRESO
2026-01-19,SUC002,PROD002,183.00,INVALIDO
2026-01-20,SUC003,PROD003,184.00,INGRESO
2026-01-21,SUC404,PROD404,185.00,EGRESO
2026-01-22,SUC001,PROD001,186.00,INVALIDO
2026-01-23,SUC002,PROD002,187.00,INGRESO
2026-01-24,SUC003,PROD003,188.00,EGRESO
2026-01-25,SUC404,PROD404,189.00,INVALIDO
2026-01-26,SUC001,PROD001,-10.00,INGRESO
2026-01-27,SUC002,PROD002,191.00,EGRESO
2026-01-28,SUC003,PROD003,192.00,INVALIDO
2026-01-29,SUC404,PROD404,193.00,INGRESO
2026-01-30,SUC001,PROD001,194.00,EGRESO
2026-01-31,SUC002,PROD002,195.00,INVALIDO
2026-01-01,SUC003,PROD003,196.00,INGRESO
2026-01-02,SUC404,PROD404,197.00,EGRESO
2026-01-03,SUC001,PROD001,198.00,INVALIDO
2026-01-04,SUC002,PROD002,199.00,INGRESO
2026-01-05,SUC003,PROD003,200.00,EGRESO
2026-01-06,SUC404,PROD404,201.00,INVALIDO
2026-01-07,SUC001,PROD001,202.00,INGRESO
2026-01-08,SUC002,PROD002,203.00,EGRESO
2026-01-09,SUC003,PROD003,204.00,INVALIDO
2026-01-10,SUC404,PROD404,-10.00,INGRESO
2026-01-11,SUC001,PROD001,206.00,EGRESO
2026-01-12,SUC002,PROD002,207.00,INVALIDO
2026-01-13,SUC003,PROD003,208.00,INGRESO
2026-01-14,SUC404,PROD404,209.00,EGRESO
2026-01-15,SUC001,PROD001,210.00,INVALIDO
2026-01-16,SUC002,PROD002,211.00,INGRESO
2026-01-17,SUC003,PROD003,212.00,EGRESO
2026-01-18,SUC404,PROD404,213.00,INVALIDO
2026-01-19,SUC001,PROD001,214.00,INGRESO
2026-01-20,SUC002,PROD002,215.00,EGRESO
2026-01-21,SUC003,PROD003,216.00,INVALIDO
2026-01-22,SUC404,PROD404,217.00,INGRESO
2026-01-23,SUC001,PROD001,218.00,EGRESO
2026-01-24,SUC002,PROD002,219.00,INVALIDO
2026-01-25,SUC003,PROD003,-10.00,INGRESO
2026-01-26,SUC404,PROD404,221.00,EGRESO
2026-01-27,SUC001,PROD001,222.00,INVALIDO
2026-01-28,SUC002,PROD002,223.00,INGRESO
2026-01-29,SUC003,PROD003,224.00,EGRESO
2026-01-30,SUC404,PROD404,225.00,INVALIDO
2026-01-31,SUC001,PROD001,226.00,INGRESO
2026-01-01,SUC002,PROD002,227.00,EGRESO
2026-01-02,SUC003,PROD003,228.00,INVALIDO
2026-01-03,SUC404,PROD404,229.00,INGRESO
2026-01-04,SUC001,PROD001,230.00,EGRESO
2026-01-05,SUC002,PROD002,231.00,INVALIDO
2026-01-06,SUC003,PROD003,232.00,INGRESO
2026-01-07,SUC404,PROD404,233.00,EGRESO
2026-01-08,SUC001,PROD001,234.00,INVALIDO
2026-01-09,SUC002,PROD002,-10.00,INGRESO
2026-01-10,SUC003,PROD003,236.00,EGRESO
2026-01-11,SUC404,PROD404,237.00,INVALIDO
2026-01-12,SUC001,PROD001,238.00,INGRESO
2026-01-13,SUC002,PROD002,239.00,EGRESO
2026-01-14,SUC003,PROD003,240.00,INVALIDO
2026-01-15,SUC404,PROD404,241.00,INGRESO
2026-01-16,SUC001,PROD001,242.00,EGRESO
2026-01-17,SUC002,PROD002,243.00,INVALIDO
2026-01-18,SUC003,PROD003,244.00,INGRESO
2026-01-19,SUC404,PROD404,245.00,EGRESO
2026-01-20,SUC001,PROD001,246.00,INVALIDO
2026-01-21,SUC002,PROD002,247.00,INGRESO
2026-01-22,SUC003,PROD003,248.00,EGRESO
2026-01-23,SUC404,PROD404,249.00,INVALIDO
2026-01-24,SUC001,PROD001,-10.00,INGRESO
2026-01-25,SUC002,PROD002,251.00,EGRESO
2026-01-26,SUC003,PROD003,252.00,INVALIDO
2026-01-27,SUC404,PROD404,253.00,INGRESO
2026-01-28,SUC001,PROD001,254.00,EGRESO
2026-01-29,SUC002,PROD002,255.00,INVALIDO
2026-01-30,SUC003,PROD003,256.00,INGRESO
2026-01-31,SUC404,PROD404,257.00,EGRESO
2026-01-01,SUC001,PROD001,258.00,INVALIDO
2026-01-02,SUC002,PROD002,259.00,INGRESO
2026-01-03,SUC003,PROD003,260.00,EGRESO
2026-01-04,SUC404,PROD404,261.00,INVALIDO
2026-01-05,SUC001,PROD001,262.00,INGRESO
2026-01-06,SUC002,PROD002,263.00,EGRESO
2026-01-07,SUC003,PROD003,264.00,INVALIDO
2026-01-08,SUC404,PROD404,-10.00,INGRESO
2026-01-09,SUC001,PROD001,266.00,EGRESO
2026-01-10,SUC002,PROD002,267.00,INVALIDO
2026-01-11,SUC003,PROD003,268.00,INGRESO
2026-01-12,SUC404,PROD404,269.00,EGRESO
2026-01-13,SUC001,PROD001,270.00,INVALIDO
2026-01-14,SUC002,PROD002,271.00,INGRESO
2026-01-15,SUC003,PROD003,272.00,EGRESO
2026-01-16,SUC404,PROD404,273.00,INVALIDO
2026-01-17,SUC001,PROD001,274.00,INGRESO
2026-01-18,SUC002,PROD002,275.00,EGRESO
2026-01-19,SUC003,PROD003,276.00,INVALIDO
2026-01-20,SUC404,PROD404,277.00,INGRESO
2026-01-21,SUC001,PROD001,278.00,EGRESO
2026-01-22,SUC002,PROD002,279.00,INVALIDO
2026-01-23,SUC003,PROD003,-10.00,INGRESO
2026-01-24,SUC404,PROD404,281.00,EGRESO
2026-01-25,SUC001,PROD001,282.00,INVALIDO
2026-01-26,SUC002,PROD002,283.00,INGRESO
2026-01-27,SUC003,PROD003,284.00,EGRESO
2026-01-28,SUC404,PROD404,285.00,INVALIDO
2026-01-29,SUC001,PROD001,286.00,INGRESO
2026-01-30,SUC002,PROD002,287.00,EGRESO
2026-01-31,SUC003,PROD003,288.00,INVALIDO
2026-01-01,SUC404,PROD404,289.00,INGRESO
2026-01-02,SUC001,PROD001,290.00,EGRESO
2026-01-03,SUC002,PROD002,291.00,INVALIDO
2026-01-04,SUC003,PROD003,292.00,INGRESO
2026-01-05,SUC404,PROD404,293.00,EGRESO
2026-01-06,SUC001,PROD001,294.00,INVALIDO
2026-01-07,SUC002,PROD002,-10.00,INGRESO
2026-01-08,SUC003,PROD003,296.00,EGRESO
2026-01-09,SUC404,PROD404,297.00,INVALIDO
2026-01-10,SUC001,PROD001,298.00,INGRESO
2026-01-11,SUC002,PROD002,299.00,EGRESO
2026-01-12,SUC003,PROD003,300.00,INVALIDO
2026-01-13,SUC404,PROD404,301.00,INGRESO
2026-01-14,SUC001,PROD001,302.00,EGRESO
2026-01-15,SUC002,PROD002,303.00,INVALIDO
2026-01-16,SUC003,PROD003,304.00,INGRESO
2026-01-17,SUC404,PROD404,305.00,EGRESO
2026-01-18,SUC001,PROD001,306.00,INVALIDO
2026-01-19,SUC002,PROD002,307.00,INGRESO
2026-01-20,SUC003,PROD003,308.00,EGRESO
2026-01-21,SUC404,PROD404,309.00,INVALIDO
2026-01-22,SUC001,PROD001,-10.00,INGRESO
2026-01-23,SUC002,PROD002,311.00,EGRESO
2026-01-24,SUC003,PROD003,312.00,INVALIDO
2026-01-25,SUC404,PROD404,313.00,INGRESO
2026-01-26,SUC001,PROD001,314.00,EGRESO
2026-01-27,SUC002,PROD002,315.00,INVALIDO
2026-01-28,SUC003,PROD003,316.00,INGRESO
2026-01-29,SUC404,PROD404,317.00,EGRESO
2026-01-30,SUC001,PROD001,318.00,INVALIDO
2026-01-31,SUC002,PROD002,319.00,INGRESO
2026-01-01,SUC003,PROD003,320.00,EGRESO
2026-01-02,SUC404,PROD404,321.00,INVALIDO
2026-01-03,SUC001,PROD001,322.00,INGRESO
2026-01-04,SUC002,PROD002,323.00,EGRESO
2026-01-05,SUC003,PROD003,324.00,INVALIDO
2026-01-06,SUC404,PROD404,-10.00,INGRESO
2026-01-07,SUC001,PROD001,326.00,EGRESO
2026-01-08,SUC002,PROD002,327.00,INVALIDO
2026-01-09,SUC003,PROD003,328.00,INGRESO
2026-01-10,SUC404,PROD404,329.00,EGRESO
2026-01-11,SUC001,PROD001,330.00,INVALIDO
2026-01-12,SUC002,PROD002,331.00,INGRESO
2026-01-13,SUC003,PROD003,332.00,EGRESO
2026-01-14,SUC404,PROD404,333.00,INVALIDO
2026-01-15,SUC001,PROD001,334.00,INGRESO
2026-01-16,SUC002,PROD002,335.00,EGRESO
2026-01-17,SUC003,PROD003,336.00,INVALIDO
2026-01-18,SUC404,PROD404,337.00,INGRESO
2026-01-19,SUC001,PROD001,338.00,EGRESO
2026-01-20,SUC002,PROD002,339.00,INVALIDO
2026-01-21,SUC003,PROD003,-10.00,INGRESO
2026-01-22,SUC404,PROD404,341.00,EGRESO
2026-01-23,SUC001,PROD001,342.00,INVALIDO
2026-01-24,SUC002,PROD002,343.00,INGRESO
2026-01-25,SUC003,PROD003,344.00,EGRESO
2026-01-26,SUC404,PROD404,345.00,INVALIDO
2026-01-27,SUC001,PROD001,346.00,INGRESO
2026-01-28,SUC002,PROD002,347.00,EGRESO
2026-01-29,SUC003,PROD003,348.00,INVALIDO
2026-01-30,SUC404,PROD404,349.00,INGRESO
2026-01-31,SUC001,PROD001,350.00,EGRESO
2026-01-01,SUC002,PROD002,351.00,INVALIDO
2026-01-02,SUC003,PROD003,352.00,INGRESO
2026-01-03,SUC404,PROD404,353.00,EGRESO
2026-01-04,SUC001,PROD001,354.00,INVALIDO
2026-01-05,SUC002,PROD002,-10.00,INGRESO
2026-01-06,SUC003,PROD003,356.00,EGRESO
2026-01-07,SUC404,PROD404,357.00,INVALIDO
2026-01-08,SUC001,PROD001,358.00,INGRESO
2026-01-09,SUC002,PROD002,359.00,EGRESO
2026-01-10,SUC003,PROD003,360.00,INVALIDO
2026-01-11,SUC404,PROD404,361.00,INGRESO
2026-01-12,SUC001,PROD001,362.00,EGRESO
2026-01-13,SUC002,PROD002,363.00,INVALIDO
2026-01-14,SUC003,PROD003,364.00,INGRESO
2026-01-15,SUC404,PROD404,365.00,EGRESO
2026-01-16,SUC001,PROD001,366.00,INVALIDO
2026-01-17,SUC002,PROD002,367.00,INGRESO
2026-01-18,SUC003,PROD003,368.00,EGRESO
2026-01-19,SUC404,PROD404,369.00,INVALIDO
2026-01-20,SUC001,PROD001,-10.00,INGRESO
2026-01-21,SUC002,PROD002,371.00,EGRESO
2026-01-22,SUC003,PROD003,372.00,INVALIDO
2026-01-23,SUC404,PROD404,373.00,INGRESO
2026-01-24,SUC001,PROD001,374.00,EGRESO
2026-01-25,SUC002,PROD002,375.00,INVALIDO
2026-01-26,SUC003,PROD003,376.00,INGRESO
2026-01-27,SUC404,PROD404,377.00,EGRESO
2026-01-28,SUC001,PROD001,378.00,INVALIDO
2026-01-29,SUC002,PROD002,379.00,INGRESO
2026-01-30,SUC003,PROD003,380.00,EGRESO
2026-01-31,SUC404,PROD404,381.00,INVALIDO
2026-01-01,SUC001,PROD001,382.00,INGRESO
2026-01-02,SUC002,PROD002,383.00,EGRESO
2026-01-03,SUC003,PROD003,384.00,INVALIDO
2026-01-04,SUC404,PROD404,-10.00,INGRESO
2026-01-05,SUC001,PROD001,386.00,EGRESO
2026-01-06,SUC002,PROD002,387.00,INVALIDO
2026-01-07,SUC003,PROD003,388.00,INGRESO
2026-01-08,SUC404,PROD404,389.00,EGRESO
2026-01-09,SUC001,PROD001,390.00,INVALIDO
2026-01-10,SUC002,PROD002,391.00,INGRESO
2026-01-11,SUC003,PROD003,392.00,EGRESO
2026-01-12,SUC404,PROD404,393.00,INVALIDO
2026-01-13,SUC001,PROD001,394.00,INGRESO
2026-01-14,SUC002,PROD002,395.00,EGRESO
2026-01-15,SUC003,PROD003,396.00,INVALIDO
2026-01-16,SUC404,PROD404,397.00,INGRESO
2026-01-17,SUC001,PROD001,398.00,EGRESO
2026-01-18,SUC002,PROD002,399.00,INVALIDO
2026-01-19,SUC003,PROD003,-10.00,INGRESO
2026-01-20,SUC404,PROD404,401.00,EGRESO
2026-01-21,SUC001,PROD001,402.00,INVALIDO
2026-01-22,SUC002,PROD002,403.00,INGRESO
2026-01-23,SUC003,PROD003,404.00,EGRESO
2026-01-24,SUC404,PROD404,405.00,INVALIDO
2026-01-25,SUC001,PROD001,406.00,INGRESO
2026-01-26,SUC002,PROD002,407.00,EGRESO
2026-01-27,SUC003,PROD003,408.00,INVALIDO
2026-01-28,SUC404,PROD404,409.00,INGRESO
2026-01-29,SUC001,PROD001,410.00,EGRESO
2026-01-30,SUC002,PROD002,411.00,INVALIDO
2026-01-31,SUC003,PROD003,412.00,INGRESO
2026-01-01,SUC404,PROD404,413.00,EGRESO
2026-01-02,SUC001,PROD001,414.00,INVALIDO
2026-01-03,SUC002,PROD002,-10.00,INGRESO
2026-01-04,SUC003,PROD003,416.00,EGRESO
2026-01-05,SUC404,PROD404,417.00,INVALIDO
2026-01-06,SUC001,PROD001,418.00,INGRESO
2026-01-07,SUC002,PROD002,419.00,EGRESO
2026-01-08,SUC003,PROD003,420.00,INVALIDO
2026-01-09,SUC404,PROD404,421.00,INGRESO
2026-01-10,SUC001,PROD001,422.00,EGRESO
2026-01-11,SUC002,PROD002,423.00,INVALIDO
2026-01-12,SUC003,PROD003,424.00,INGRESO
2026-01-13,SUC404,PROD404,425.00,EGRESO
2026-01-14,SUC001,PROD001,426.00,INVALIDO
2026-01-15,SUC002,PROD002,427.00,INGRESO
2026-01-16,SUC003,PROD003,428.00,EGRESO
2026-01-17,SUC404,PROD404,429.00,INVALIDO
2026-01-18,SUC001,PROD001,-10.00,INGRESO
2026-01-19,SUC002,PROD002,431.00,EGRESO
2026-01-20,SUC003,PROD003,432.00,INVALIDO
2026-01-21,SUC404,PROD404,433.00,INGRESO
2026-01-22,SUC001,PROD001,434.00,EGRESO
2026-01-23,SUC002,PROD002,435.00,INVALIDO
2026-01-24,SUC003,PROD003,436.00,INGRESO
2026-01-25,SUC404,PROD404,437.00,EGRESO
2026-01-26,SUC001,PROD001,438.00,INVALIDO
2026-01-27,SUC002,PROD002,439.00,INGRESO
2026-01-28,SUC003,PROD003,440.00,EGRESO
2026-01-29,SUC404,PROD404,441.00,INVALIDO
2026-01-30,SUC001,PROD001,442.00,INGRESO
2026-01-31,SUC002,PROD002,443.00,EGRESO
2026-01-01,SUC003,PROD003,444.00,INVALIDO
2026-01-02,SUC404,PROD404,-10.00,INGRESO
2026-01-03,SUC001,PROD001,446.00,EGRESO
2026-01-04,SUC002,PROD002,447.00,INVALIDO
2026-01-05,SUC003,PROD003,448.00,INGRESO
2026-01-06,SUC404,PROD404,449.00,EGRESO
2026-01-07,SUC001,PROD001,450.00,INVALIDO
2026-01-08,SUC002,PROD002,451.00,INGRESO
2026-01-09,SUC003,PROD003,452.00,EGRESO
2026-01-10,SUC404,PROD404,453.00,INVALIDO
2026-01-11,SUC001,PROD001,454.00,INGRESO
2026-01-12,SUC002,PROD002,455.00,EGRESO
2026-01-13,SUC003,PROD003,456.00,INVALIDO
2026-01-14,SUC404,PROD404,457.00,INGRESO
2026-01-15,SUC001,PROD001,458.00,EGRESO
2026-01-16,SUC002,PROD002,459.00,INVALIDO
2026-01-17,SUC003,PROD003,-10.00,INGRESO
2026-01-18,SUC404,PROD404,461.00,EGRESO
2026-01-19,SUC001,PROD001,462.00,INVALIDO
2026-01-20,SUC002,PROD002,463.00,INGRESO
2026-01-21,SUC003,PROD003,464.00,EGRESO
2026-01-22,SUC404,PROD404,465.00,INVALIDO
2026-01-23,SUC001,PROD001,466.00,INGRESO
2026-01-24,SUC002,PROD002,467.00,EGRESO
2026-01-25,SUC003,PROD003,468.00,INVALIDO
2026-01-26,SUC404,PROD404,469.00,INGRESO
2026-01-27,SUC001,PROD001,470.00,EGRESO
2026-01-28,SUC002,PROD002,471.00,INVALIDO
2026-01-29,SUC003,PROD003,472.00,INGRESO
2026-01-30,SUC404,PROD404,473.00,EGRESO
2026-01-31,SUC001,PROD001,474.00,INVALIDO
2026-01-01,SUC002,PROD002,-10.00,INGRESO
2026-01-02,SUC003,PROD003,476.00,EGRESO
2026-01-03,SUC404,PROD404,477.00,INVALIDO
2026-01-04,SUC001,PROD001,478.00,INGRESO
2026-01-05,SUC002,PROD002,479.00,EGRESO
2026-01-06,SUC003,PROD003,480.00,INVALIDO
2026-01-07,SUC404,PROD404,481.00,INGRESO
2026-01-08,SUC001,PROD001,482.00,EGRESO
2026-01-09,SUC002,PROD002,483.00,INVALIDO
2026-01-10,SUC003,PROD003,484.00,INGRESO
2026-01-11,SUC404,PROD404,485.00,EGRESO
2026-01-12,SUC001,PROD001,486.00,INVALIDO
2026-01-13,SUC002,PROD002,487.00,INGRESO
2026-01-14,SUC003,PROD003,488.00,EGRESO
2026-01-15,SUC404,PROD404,489.00,INVALIDO
2026-01-16,SUC001,PROD001,-10.00,INGRESO
2026-01-17,SUC002,PROD002,491.00,EGRESO
2026-01-18,SUC003,PROD003,492.00,INVALIDO
2026-01-19,SUC404,PROD404,493.00,INGRESO
2026-01-20,SUC001,PROD001,494.00,EGRESO
2026-01-21,SUC002,PROD002,495.00,INVALIDO
2026-01-22,SUC003,PROD003,496.00,INGRESO
2026-01-23,SUC404,PROD404,497.00,EGRESO
2026-01-24,SUC001,PROD001,498.00,INVALIDO
2026-01-25,SUC002,PROD002,499.00,INGRESO
2026-01-26,SUC003,PROD003,500.00,EGRESO
2026-01-27,SUC404,PROD404,501.00,INVALIDO
2026-01-28,SUC001,PROD001,502.00,INGRESO
2026-01-29,SUC002,PROD002,503.00,EGRESO
2026-01-30,SUC003,PROD003,504.00,INVALIDO
2026-01-31,SUC404,PROD404,-10.00,INGRESO
2026-01-01,SUC001,PROD001,506.00,EGRESO
2026-01-02,SUC002,PROD002,507.00,INVALIDO
2026-01-03,SUC003,PROD003,508.00,INGRESO
2026-01-04,SUC404,PROD404,509.00,EGRESO
2026-01-05,SUC001,PROD001,510.00,INVALIDO
2026-01-06,SUC002,PROD002,511.00,INGRESO
2026-01-07,SUC003,PROD003,512.00,EGRESO
2026-01-08,SUC404,PROD404,513.00,INVALIDO
2026-01-09,SUC001,PROD001,514.00,INGRESO
2026-01-10,SUC002,PROD002,515.00,EGRESO
2026-01-11,SUC003,PROD003,516.00,INVALIDO
2026-01-12,SUC404,PROD404,517.00,INGRESO
2026-01-13,SUC001,PROD001,518.00,EGRESO
